name,president,start_president,end_president,ministry,start_minister,end_minister,días,edad,debut,sexo,experiencia,exp_executive,exp_congress,exp_ngo,exp_thinktanks,exp_business
"Dockendorff Vallejos, Eduardo",Ricardo Lagos,2000-03-11,2006-03-11,SEGPRES,2004-06-03,2006-03-11,646,55,2004,0,2,0,0,1,1,0
"Fernández Baeza, Mario",Ricardo Lagos,2000-03-11,2006-03-11,SEGPRES,2002-01-07,2003-03-03,420,54,2002,0,1,0,0,1,0,0
"Huenchumilla Jaramillo, Francisco",Ricardo Lagos,2000-03-11,2006-03-11,SEGPRES,2003-03-03,2004-06-03,458,58,2003,0,2,0,1,1,0,0
"Insulza Salinas, José Miguel",Eduardo Frei,1994-03-11,2000-03-11,SEGPRES,1999-06-22,2000-03-11,263,56,1999,0,0,0,0,0,0,0
"Villarzú Rohde, Juan",Eduardo Frei,1994-03-11,2000-03-11,SEGPRES,1996-09-28,1998-08-01,672,52,1996,0,2,1,0,0,0,1
"Campos Quiroga, Jaime",Ricardo Lagos,2000-03-11,2006-03-11,Agricultura,2000-03-11,2006-03-11,2191,47,2000,0,1,0,1,0,0,0
"Figueroa Yávar, Juan Agustín",Patricio Aylwin,1990-03-11,1994-03-11,Agricultura,1990-03-11,1994-03-11,1461,56,1990,0,1,0,0,0,0,1
"Galilea Vidaurre, José Antonio",Sebastián Piñera,2010-03-11,2014-03-11,Agricultura,2010-03-11,2011-12-29,658,48,2010,0,3,1,1,0,0,1
"Mayol Bouchon, Luis",Sebastián Piñera,2010-03-11,2014-03-11,Agricultura,2011-12-29,2014-03-11,803,59,2011,0,1,0,0,0,0,1
"Mladinic Alonso, Carlos",Eduardo Frei,1994-03-11,2000-03-11,Agricultura,1996-09-28,1999-06-22,997,41,1996,0,0,0,0,0,0,0
"Rojas Marín, Álvaro",Michelle Bachelet,2006-03-11,2010-03-11,Agricultura,2006-03-11,2008-01-08,668,52,2006,0,2,0,0,1,1,0
"Sartori Arellano, Ángel",Eduardo Frei,1994-03-11,2000-03-11,Agricultura,1999-06-22,2000-03-11,263,51,1999,0,0,0,0,0,0,0
"Hornkohl Venegas, Marigen",Michelle Bachelet,2006-03-11,2010-03-11,Agricultura,2008-01-08,2010-03-11,793,54,2008,1,1,1,0,0,0,0
"Alvarado Constenla, Luis",Patricio Aylwin,1990-03-11,1994-03-11,Bienes Nacionales,1990-03-11,1994-03-11,1461,49,1990,0,0,0,0,0,0,0
"Galilea Ocón, Sergio",Eduardo Frei,1994-03-11,2000-03-11,Bienes Nacionales,1999-08-13,2000-03-11,211,51,1999,0,1,1,0,0,0,0
