date,eleccion,delta,encuesta,encuestados,metodo,tipo,prob,precision_kast,Kast,precision_boric,Boric,precision sichel,Sichel,precision parisi,Parisi,precision_provoste,Provoste,precision_enriquez,Enriquez,precision_artes,Artes,precision_promedio,nsnr,pregunta
2021-06-29,2021-11-17,141,Criteria Research,1598,online,open,0,22.00,6.00,20.00,6.00,3.00,10.00,9.00,4.00,3.00,9.00,8.00,,1.00,,9.43,13.00,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera? (ÚNICA MENCIÓN EN PREGUNTA ABIERTA)"
2021-06-28,2021-11-17,142,Data Influye,1396,online,open,0,23.50,4.50,15.70,10.30,2.70,10.30,11.30,1.70,1.20,10.80,8.00,,1.00,,9.06,9.60,"Pensando en la elección presidencial, si ésta fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile el 2021, excluyendo a Sebastián Piñera?"
2021-06-24,2021-11-17,146,Cadem,2388,phone,open,0,22.00,6.00,20.00,6.00,4.00,9.00,9.00,4.00,3.00,9.00,8.00,,1.00,,9.57,21.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas."
2021-06-17,2021-11-17,153,Cadem,703,phone,open,0,23.00,5.00,20.00,6.00,8.00,5.00,8.00,5.00,1.00,13.00,8.00,,1.00,,9.86,21.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas."
2021-06-14,2021-11-17,156,LabEstudios,1506,phone,open,0,24.00,4.00,25.00,1.00,11.00,2.00,12.00,1.00,10.00,2.00,7.00,1.00,1.00,,12.86,39.00,"Si las elecciones para elegir al Presidente de la República fueran el próximo domingo, ¿por quién votaría usted…?"
2021-06-11,2021-11-17,159,Activa Research,1226,online,open,0,25.30,2.70,24.60,1.40,8.70,4.30,9.00,4.00,5.80,6.20,6.20,1.80,1.00,,11.51,18.60,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile, excluyendo a Sebastián Piñera? Mención espontánea. Nombres igual o mayor a 1%."
2021-06-11,2021-11-17,159,Activa Research,771,online,open,1,24.40,3.60,23.70,2.30,7.30,5.70,7.40,5.60,3.80,8.20,5.70,2.30,1.00,,10.47,12.70,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile, excluyendo a Sebastián Piñera? Mención espontánea. Nombres igual o mayor a 1%."
2021-06-11,2021-11-17,159,Cadem,703,phone,open,0,21.00,7.00,23.00,3.00,7.00,6.00,7.00,6.00,2.00,14.00,8.00,,1.00,,9.86,19.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas."
2021-06-03,2021-11-17,167,Cadem,702,phone,open,0,21.00,7.00,21.00,5.00,5.00,8.00,7.00,6.00,1.00,13.00,8.00,,1.00,,9.14,16.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por cuál de los siguientes candidatos votaría usted? Alternativas dadas."
2021-06-01,2021-11-17,169,Criteria Research,1532,online,open,0,22.00,6.00,22.00,4.00,5.00,8.00,11.00,2.00,3.00,9.00,8.00,,1.00,,10.29,18.00,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera? (ÚNICA MENCIÓN EN PREGUNTA ABIERTA"
2021-05-31,2021-11-17,170,Data Influye,1365,online,open,0,23.10,4.90,20.40,5.60,3.40,9.60,10.60,2.40,3.40,8.60,8.00,,1.00,,9.99,12.10,"Pensando en la elección presidencial, si esta elección fuese el próximo domingo, ¿por quién votaría Ud., para presidente/a de Chile, excluyendo a Sebastián Piñera? Mención espontánea. Nombres igual o mayor a 1%."
2021-05-28,2021-11-17,173,Activa Research,1522,online,open,0,24.20,3.80,24.50,1.50,8.50,4.50,9.20,3.80,5.40,6.60,8.00,,1.00,,11.54,22.70,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-05-28,2021-11-17,173,Activa Research,967,online,open,1,22.80,5.20,24.20,1.80,7.00,6.00,8.00,5.00,4.70,7.30,8.00,,1.00,,10.81,15.50,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-05-28,2021-11-17,173,Feedback,5457,online,open,0,21.00,7.00,21.00,5.00,3.00,10.00,13.00,,6.00,6.00,8.00,,1.00,,10.43,40.00,"Si las elecciones presidenciales fueran el próximo domingo, ¿Por quién votaría usted? (menciones espontáneas sobre ±2%)"
2021-05-18,2021-11-17,183,Activa Research,1047,online,open,0,24.70,3.30,24.30,1.70,9.60,3.40,13.00,,9.90,2.10,8.00,,1.00,,12.93,24.50,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-05-18,2021-11-17,183,Activa Research,680,online,open,1,23.00,5.00,23.80,2.20,9.70,3.30,13.00,,8.40,3.60,8.00,,1.00,,12.41,17.30,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-05-03,2021-11-17,198,Criteria Research,1592,online,open,0,22.00,6.00,24.00,2.00,8.00,5.00,13.00,,9.00,3.00,8.00,,1.00,,12.14,18.00,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera?"
2021-04-30,2021-11-17,201,Activa Research,1184,online,open,0,23.20,4.80,23.00,3.00,8.80,4.20,13.00,,12.00,,5.90,2.10,1.00,,12.41,23.20,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-04-30,2021-11-17,201,Activa Research,667,online,open,1,22.00,6.00,23.00,3.00,9.50,3.50,13.00,,12.00,,5.70,2.30,1.00,,12.31,16.40,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-04-26,2021-11-17,205,Data Influye,2014,online,open,0,23.50,4.50,22.20,3.80,9.00,4.00,11.10,1.90,12.00,,6.60,1.40,1.00,,12.20,13.80,"Pensando en la elección presidencial del próximo año, ¿quién le gustaría que fuese la o él presidente de Chile el 2021, excluyendo a Sebastián Piñera?"
2021-04-16,2021-11-17,215,Activa Research,1054,online,open,0,24.60,3.40,24.80,1.20,10.50,2.50,11.10,1.90,12.00,,6.30,1.70,1.00,,12.90,23.20,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-04-16,2021-11-17,215,Activa Research,623,online,open,1,23.90,4.10,24.10,1.90,10.20,2.80,10.10,2.90,12.00,,5.20,2.80,1.00,,12.36,13.90,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-03-30,2021-11-17,232,Criteria Research,1641,online,open,0,22.00,6.00,23.00,3.00,7.00,6.00,13.00,,12.00,,8.00,,1.00,,12.29,17.00,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera?"
2021-03-29,2021-11-17,233,Activa Research,1255,online,open,0,24.30,3.70,24.10,1.90,8.00,5.00,11.30,1.70,12.00,,6.40,1.60,1.00,,12.44,23.30,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-03-29,2021-11-17,233,Activa Research,693,online,open,1,24.10,3.90,23.90,2.10,7.40,5.60,11.70,1.30,12.00,,5.50,2.50,1.00,,12.23,15.00,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-03-12,2021-11-17,250,Activa Research,1235,online,open,0,24.70,3.30,25.00,1.00,7.90,5.10,8.70,4.30,12.00,,6.00,2.00,1.00,,12.19,22.50,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-03-12,2021-11-17,250,Activa Research,747,online,open,1,24.80,3.20,25.00,1.00,6.90,6.10,8.70,4.30,12.00,,6.30,1.70,1.00,,12.10,16.50,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
2021-03-05,2021-11-17,257,Cadem,705,phone,open,0,25.00,3.00,25.00,1.00,10.00,3.00,12.00,1.00,12.00,,8.00,,1.00,,13.29,66.00,"Con excepción del Presidente Piñera, ¿Quién le gustaría a Ud. que fuera la o el próximo presidente/a de Chile? %"
2021-02-28,2021-11-17,262,Data Influye,1637,online,open,0,23.60,4.40,25.00,1.00,7.60,5.40,10.90,2.10,12.00,,7.50,0.50,1.00,,12.51,21.70,"Pensando en el futuro, ¿quién te gustaría que fuera el próximo presidente o presidenta de Chile después de Sebastián Piñera?"
2021-02-12,2021-11-17,278,Activa Research,1003,online,open,0,24.40,3.60,25.50,0.50,8.60,4.40,10.80,2.20,12.00,,8.00,,1.00,,12.90,25.30,"Pensando en el futuro ¿Quién preferirías que sea el próximo presidente de Chile, excluyendo a Sebastián Piñera?"
