country,year,general_consumption_price,domestic_absorption_price,household_consumption_price,output-side_gdp_price,exchange_rate
Peru,1997,0.423465997,0.421337068,0.472090006,0.422788858,2.66416666666667000000000000
Peru,1998,0.418615013,0.41145438,0.457720548,0.411252171,2.93000000000000000000000000
Peru,1999,0.375698119,0.37075153,0.402789444,0.37095806,3.38333333333333000000000000
Peru,2000,0.378224283,0.370513678,0.400039941,0.37130329,3.49000000000000000000000000
Peru,2001,0.379368186,0.369436622,0.393267334,0.370877087,3.50683333333333000000000000
Peru,2002,0.374186039,0.362527698,0.381566614,0.366713047,3.51650000000000000000000000
Peru,2003,0.379927397,0.365674138,0.382399082,0.370947391,3.47846700000000000000000000
Peru,2004,0.394720972,0.382599503,0.393104732,0.391422629,3.41317500000000000000000000
Peru,2005,0.398631781,0.390488923,0.392467082,0.401756763,3.29584166666667000000000000
Peru,2006,0.402247608,0.396260768,0.395344585,0.41446206,3.27403250265816000000000000
Peru,2007,0.419579506,0.415842921,0.413184464,0.433086276,3.12804457735247000000000000
Peru,2008,0.461438209,0.45866552,0.455060959,0.467470646,2.92440833333333000000000000
Peru,2009,0.453448176,0.454410166,0.447596937,0.466869473,3.01150833333333000000000000
Peru,2010,0.480957061,0.489767879,0.475841403,0.502326965,2.82512500000000000000000000
Peru,2011,0.501289725,0.518478572,0.49722451,0.532628357,2.75410000000000000000000000
Peru,2012,0.545809507,0.557887018,0.536612451,0.565939665,2.63758641774892000000000000
Peru,2013,0.560240567,0.572572708,0.555162907,0.579798043,2.70189902597403000000000000
Peru,2014,0.560044527,0.568226874,0.558101594,0.572461367,2.83904413780664000000000000
Peru,2015,0.521068394,0.531417966,0.525062442,0.535678148,3.18443924152237000000000000
Peru,2016,0.51482451,0.522602439,0.523791254,0.529480696,3.37506158720665000000000000
Peru,2017,0.553298593,0.552178085,0.571501255,0.56123966,3.26048849083210000000000000
Peru,2018,0.558404326,0.561361015,0.576716006,0.570416212,3.28660269803296000000000000
Peru,2019,0.559578478,0.563575923,0.580074549,0.570263624,3.33726554653680000000000000
Paraguay,1950,,,,,
Paraguay,1951,0.117526069,0.130714208,0.121456601,0.11860615,6.30342388153076000000000000
Paraguay,1952,0.134404585,0.154503614,0.139501721,0.141600385,9.86074924468994000000000000
Paraguay,1953,0.097384207,0.115143262,0.1006651,0.106993616,24.28385543823240000000000000
Paraguay,1954,0.109874509,0.126793042,0.112928502,0.116650574,28.62593269348140000000000000
Paraguay,1955,0.102612861,0.114874698,0.106008396,0.105995983,37.81842422485350000000000000
Paraguay,1956,0.080560818,0.089765459,0.083426528,0.081870355,61.21268463134770000000000000
Paraguay,1957,0.076868244,0.09009672,0.079289645,0.08190766,77.67021179199220000000000000
Paraguay,1958,0.066452019,0.076953784,0.068938807,0.06992279,97.42136383056640000000000000
Paraguay,1959,0.063946478,0.073029704,0.066262536,0.066418111,114.90616607666000000000000000
Paraguay,1960,0.068225205,0.079700105,0.070672914,0.072628893,123.16670227050800000000000000
Paraguay,1961,0.071648739,0.084283255,0.074249655,0.076381072,126.00000000000000000000000000
Paraguay,1962,0.079101816,0.08934702,0.081772655,0.08308506,126.00000000000000000000000000
Paraguay,1963,0.081927195,0.089742884,0.085018881,0.08342506,126.00000000000000000000000000
Paraguay,1964,0.081492424,0.092168964,0.08431109,0.086268827,126.00000000000000000000000000
Paraguay,1965,0.083957866,0.096599795,0.087187491,0.090716481,126.00000000000000000000000000
Paraguay,1966,0.085758857,0.098817065,0.089807279,0.094155684,126.00000000000000000000000000
Paraguay,1967,0.083910823,0.096702412,0.087502614,0.091558717,126.00000000000000000000000000
Paraguay,1968,0.083902739,0.096900009,0.08786989,0.092747442,126.00000000000000000000000000
Paraguay,1969,0.086449459,0.099558167,0.091441602,0.095541194,126.00000000000000000000000000
Paraguay,1970,0.087915994,0.099978708,0.093915343,0.096089207,126.00000000000000000000000000
Paraguay,1971,0.093993284,0.105347015,0.100724198,0.101787165,126.00000000000000000000000000
Paraguay,1972,0.102253646,0.113659203,0.110354669,0.110433839,126.00000000000000000000000000
Paraguay,1973,0.121517934,0.137568548,0.13160713,0.13620168,126.00000000000000000000000000
Paraguay,1974,0.151429012,0.173904255,0.162544847,0.17212221,126.00000000000000000000000000
Paraguay,1975,0.159845591,0.193698436,0.173825175,0.186161175,126.00000000000000000000000000
